,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
0,MIN,MIN vs. CHI,04/10/2022,,L,240,120,46,91,50.5,11,31,35.5,17,22,77.3,9,23,32,30,7,9,13,23,-4
1,CHI,CHI @ MIN,04/10/2022,,W,240,124,44,83,53.0,10,21,47.6,26,33,78.8,16,32,48,22,9,3,23,22,4
2,PHI,PHI vs. DET,04/10/2022,,W,240,118,46,88,52.3,5,25,20.0,21,23,91.3,10,32,42,25,13,6,11,23,12
3,DET,DET @ PHI,04/10/2022,,L,240,106,38,83,45.8,11,34,32.4,19,29,65.5,15,27,42,26,4,4,20,16,-12
4,MEM,MEM vs. BOS,04/10/2022,,L,240,110,39,102,38.2,15,47,31.9,17,27,63.0,19,26,45,27,11,6,10,16,-29
5,BOS,BOS @ MEM,04/10/2022,,W,240,139,54,99,54.5,18,48,37.5,13,13,100.0,14,42,56,34,5,2,15,20,29
6,LAL,LAL @ DEN,04/10/2022,,W,265,146,44,94,46.8,16,43,37.2,42,47,89.4,13,37,50,26,4,6,13,24,5
7,DEN,DEN vs. LAL,04/10/2022,,L,265,141,49,100,49.0,15,47,31.9,28,36,77.8,11,34,45,33,10,7,14,34,-5
8,ORL,ORL vs. MIA,04/10/2022,,W,240,125,45,91,49.5,23,58,39.7,12,14,85.7,6,42,48,33,4,3,10,16,14
9,MIA,MIA @ ORL,04/10/2022,,L,240,111,40,94,42.6,19,50,38.0,12,16,75.0,10,37,47,20,5,4,10,13,-14
10,NYK,NYK vs. TOR,04/10/2022,,W,240,105,40,87,46.0,15,43,34.9,10,12,83.3,10,38,48,32,6,5,17,17,11
11,TOR,TOR @ NYK,04/10/2022,,L,240,94,36,92,39.1,12,42,28.6,10,11,90.9,9,34,43,27,10,2,14,17,-11
12,BKN,BKN vs. IND,04/10/2022,,W,240,134,52,81,64.2,8,22,36.4,22,25,88.0,8,42,50,30,5,6,21,16,8
13,IND,IND @ BKN,04/10/2022,,L,240,126,47,104,45.2,19,46,41.3,13,19,68.4,11,19,30,32,16,1,7,23,-8
14,HOU,HOU vs. ATL,04/10/2022,,L,240,114,41,89,46.1,17,46,37.0,15,20,75.0,6,28,34,24,4,4,8,19,-16
15,ATL,ATL @ HOU,04/10/2022,,W,240,130,45,87,51.7,21,38,55.3,19,24,79.2,13,37,50,29,4,4,13,19,16
16,WAS,WAS @ CHA,04/10/2022,,L,240,108,42,94,44.7,8,23,34.8,16,26,61.5,17,26,43,25,12,3,11,16,-16
17,CHA,CHA vs. WAS,04/10/2022,,W,240,124,48,89,53.9,18,33,54.5,10,14,71.4,11,37,48,34,6,9,20,20,16
18,CLE,CLE vs. MIL,04/10/2022,,W,240,133,51,94,54.3,19,38,50.0,12,17,70.6,10,38,48,39,5,5,12,26,18
19,MIL,MIL @ CLE,04/10/2022,,L,240,115,39,88,44.3,12,30,40.0,25,32,78.1,8,33,41,27,7,2,12,14,-18
20,PHX,PHX vs. SAC,04/10/2022,,L,240,109,42,103,40.8,14,47,29.8,11,15,73.3,18,32,50,27,9,7,11,25,-7
21,SAC,SAC @ PHX,04/10/2022,,W,240,116,40,76,52.6,14,26,53.8,22,30,73.3,2,38,40,26,9,7,15,18,7
22,POR,POR vs. UTA,04/10/2022,,L,240,80,31,83,37.3,9,34,26.5,9,12,75.0,5,27,32,21,11,8,16,27,-31
23,UTA,UTA @ POR,04/10/2022,,W,240,111,37,82,45.1,9,36,25.0,28,38,73.7,15,45,60,23,8,6,17,16,31
24,NOP,NOP vs. GSW,04/10/2022,,L,240,107,42,99,42.4,14,40,35.0,9,12,75.0,18,24,42,24,10,0,12,17,-21
